id,organization_id,accessibility,admin_emails,alternate_name,description,email,languages,latitude,longitude,name,short_desc,transportation,website,virtual
152,150,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
153,150,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
157,150,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
159,150,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
160,150,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
161,150,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
162,150,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
163,150,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
164,150,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
165,165,,,,See listed services,,,,,"Miami, FL",,,,False
166,165,,,,See listed services,,,,,"Miami, FL",,,,False
167,167,,,,See listed services,,,,,"Miami, FL",,,,False
171,171,,,,See listed services,,,,,"Homestead, FL",,,,False
172,171,,,,See listed services,,,25.0,-81.0,"Homestead, FL",,,,False
173,171,,,,See listed services,,,25.0,-81.0,"Florida City, FL",,,,False
174,171,,,,See listed services,,,25.0,-80.0,"Florida City, FL",,,,False
175,171,,,,See listed services,,,,,"Homestead, FL",,,,False
176,171,,,,See listed services,,,25.0,-81.0,"Florida City, FL",,,,False
177,171,,,,See listed services,,,25.0,-80.0,"Homestead, FL",,,,False
182,182,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
183,182,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
184,182,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
185,182,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
186,182,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
188,182,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
190,182,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
191,191,,,,See listed services,,,,,"Miami, FL",,,,False
193,193,,,,See listed services,,,,,"Miami, FL",,,,False
198,193,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
200,193,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
202,193,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
204,193,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
207,207,,,,See listed services,,,26.0,-80.0,"Miami Gardens, FL",,,,False
208,207,,,,See listed services,,,26.0,-80.0,"Opa Locka, FL",,,,False
209,207,,,,See listed services,,,,,"Miami Gardens, FL",,,,False
211,207,,,,See listed services,,,26.0,-80.0,"Opa Locka, FL",,,,False
212,207,,,,See listed services,,,26.0,-80.0,"Opa Locka, FL",,,,False
213,207,,,,See listed services,,,26.0,-80.0,"Opa Locka, FL",,,,False
214,207,,,,See listed services,,,26.0,-80.0,"Miami Gardens, FL",,,,False
215,207,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
216,207,,,,See listed services,,,26.0,-80.0,"Opa Locka, FL",,,,False
217,217,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
218,217,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
219,217,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
222,222,,,,See listed services,,,,,"Pompano Beach, FL",,,,False
226,226,,,,See listed services,,,,,"Miami, FL",,,,False
228,228,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
232,228,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
236,236,,,,See listed services,,,26.0,-80.0,"Washington, DC",,,,False
237,236,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
238,238,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
239,238,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
240,238,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
242,238,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
243,238,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
247,247,,,,See listed services,,,28.0,-83.0,"Tampa, FL",,,,False
249,247,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
293,293,,,,See listed services,,,,,"Fort Lauderdale, FL",,,,False
295,295,,,,See listed services,,,28.0,-83.0,"Saint Petersburg, FL",,,,False
297,297,,,,See listed services,,,,,"Miami, FL",,,,False
299,297,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
304,304,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
309,304,,,,See listed services,,,,,"Miami, FL",,,,False
311,304,,,,See listed services,,,,,"Miami, FL",,,,False
312,304,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
313,313,,,,See listed services,,,,,"Miami, FL",,,,False
315,315,,,,See listed services,,,39.0,-77.0,"Washington, DC",,,,False
316,315,,,,See listed services,,,30.0,-84.0,"Miami, FL",,,,False
318,315,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
319,319,,,,See listed services,,,,,"Miami, FL",,,,False
320,319,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
321,319,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
323,323,,,,See listed services,,,,,"Baltimore, MD",,,,False
324,323,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
325,323,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
326,323,,,,See listed services,,,26.0,-80.0,"Miami Beach, FL",,,,False
327,323,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
328,323,,,,See listed services,,,26.0,-80.0,"Hialeah, FL",,,,False
329,323,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
330,323,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
331,323,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
332,332,,,,See listed services,,,25.0,-80.0,"Homestead, FL",,,,False
333,332,,,,See listed services,,,25.0,-80.0,"Homestead, FL",,,,False
334,332,,,,See listed services,,,,,"Homestead, FL",,,,False
348,348,,,,See listed services,,,25.0,-80.0,"Homestead, FL",,,,False
349,348,,,,See listed services,,,25.0,-80.0,"Homestead, FL",,,,False
350,348,,,,See listed services,,,25.0,-80.0,"Homestead, FL",,,,False
351,348,,,,See listed services,,,25.0,-80.0,"Homestead, FL",,,,False
352,348,,,,See listed services,,,25.0,-80.0,"Homestead, FL",,,,False
360,360,,,,See listed services,,,,,"Miami, FL",,,,False
361,360,,,,See listed services,,,26.0,-80.0,"Miami, FL",,,,False
362,360,,,,See listed services,,,,,"Miami, FL",,,,False
